;;;;;;;
;;;;;;;
;;;MTD SMT Distributed;Objectif SMT Distributed;Taux Réalisation;POIDS/OBJ;POIDS/REA
;Temps écoulé;55 %;;;;;
;ZONE BD SUD;; 	35 469 284   ; 	102 558 516   ;34,6 %;25,5 %;26 %
;BD Agadir;; 	7 995 044   ; 	24 934 933   ;32,1 %;24,3 %;22,5 %
;BD Grand Agadir;; 	7 103 160   ; 	21 121 860   ;33,6 %;20,6 %;20,0 %
;BD Grand Marrakech;; 	6 831 928   ; 	19 996 479   ;34,2 %;19,5 %;19,3 %
;BD Marrakech 1;; 	5 903 460   ; 	17 418 758   ;33,9 %;17,0 %;16,6 %
;BD Marrakech 2;; 	7 635 692   ; 	19 086 487   ;40,0 %;18,6 %;21,5 %
;;;;;;;
;ZONE BD EST;; 	27 168 084   ; 	89 789 439   ;30,3 %;22,3 %;20,0 %
;BD Fes 1;; 	6 702 200   ; 	21 134 874   ;31,7 %;23,5 %;24,7 %
;BD Grand Fes;; 	4 344 532   ; 	14 704 018   ;29,5 %;16,4 %;16,0 %
;BD Grand Meknes;; 	5 882 360   ; 	20 180 081   ;29,1 %;22,5 %;21,7 %
;BD Meknes;; 	5 841 044   ; 	19 197 468   ;30,4 %;21,4 %;21,5 %
;BD Oriental;; 	4 397 948   ; 	14 572 998   ;30,2 %;16,2 %;16,2 %
;;;;;;;
;ZONE BD OUEST;; 	35 983 132   ; 	101 081 203   ;35,6 %;25,1 %;26,5 %
;BD Casa 1;; 	6 808 960   ; 	16 841 095   ;40,4 %;16,7 %;18,9 %
;BD Casa 2;; 	5 256 760   ; 	16 786 336   ;31,3 %;16,6 %;14,6 %
;BD Casa 3;; 	4 703 584   ; 	14 725 328   ;31,9 %;14,6 %;13,1 %
;BD Casa 4;; 	6 073 036   ; 	15 295 674   ;39,7 %;15,1 %;16,9 %
;BD Casa 5;; 	6 491 900   ; 	17 085 923   ;38,0 %;16,9 %;18,0 %
;BD Mohamedia;; 	6 648 892   ; 	20 346 848   ;32,7 %;20,1 %;18,5 %
;;;;;;;
;ZONE BD NORD;; 	37 180 492   ; 	108 726 020   ;34,2 %;27,0 %;27,4 %
;BD Gharb;; 	6 643 460   ; 	17 358 437   ;38,3 %;16,0 %;17,9 %
;BD Rabat 1;; 	6 890 724   ; 	19 927 178   ;34,6 %;18,3 %;18,5 %
;BD Rabat 2;; 	5 252 572   ; 	16 238 859   ;32,3 %;14,9 %;14,1 %
;BD Salé;; 	6 181 712   ; 	18 644 851   ;33,2 %;17,1 %;16,6 %
;BD Tanger;; 	4 993 704   ; 	14 157 315   ;35,3 %;13,0 %;13,4 %
;BD Tetouan;; 	7 218 320   ; 	22 399 381   ;32,2 %;20,6 %;19,4 %
;;; 	135 800 992,00   ; 	402 155 178,96   ;33,8 %;;
